SUID,JOB_FIRST,JOB_LAST,PARAMANGDIST,PARAMSSW,PARAMSSP,PARAMAL,PARAMNIPW,PARAMNIPP,PARAMDLCW
24JPARCFLUNI0001,1,10,UNI,005,005,1,005,005,01
24JPARCFLUNI0002,1,10,UNI,005,005,1,005,005,02
24JPARCFLUNI0003,1,10,UNI,005,005,1,005,005,03
24JPARCFLUNI0004,1,10,UNI,005,005,1,005,005,04
24JPARCFLUNI0005,1,10,UNI,005,005,1,005,005,05
24JPARCFLUNI0006,1,10,UNI,005,005,1,005,005,06
24JPARCFLUNI0007,1,10,UNI,005,005,1,005,005,07
24JPARCFLUNI0008,1,10,UNI,005,005,1,005,005,08
24JPARCFLUNI0009,1,10,UNI,005,005,1,005,005,09
24JPARCFLUNI0010,1,10,UNI,005,005,1,005,005,10
24JPARCFLCOL0001,1,10,COL,005,005,1,005,005,01
24JPARCFLCOL0002,1,10,COL,005,005,1,005,005,02
24JPARCFLCOL0003,1,10,COL,005,005,1,005,005,03
24JPARCFLCOL0004,1,10,COL,005,005,1,005,005,04
24JPARCFLCOL0005,1,10,COL,005,005,1,005,005,05
24JPARCFLCOL0006,1,10,COL,005,005,1,005,005,06
24JPARCFLCOL0007,1,10,COL,005,005,1,005,005,07
24JPARCFLCOL0008,1,10,COL,005,005,1,005,005,08
24JPARCFLCOL0009,1,10,COL,005,005,1,005,005,09
24JPARCFLCOL0010,1,10,COL,005,005,1,005,005,10
