SUID,JOB_FIRST,JOB_LAST,PARAMVALVEOPENTIME,PARAMTOTALSIMTIME,PARAMSSW,PARAMSSP,PARAMAL,PARAMNIPW,PARAMNIPP,PARAMDLCW
JPARCST0150001,1,1,15,85,005,005,1,005,005,01
JPARCST0300001,1,1,30,100,005,005,1,005,005,01
JPARCST0500001,1,1,50,120,005,005,1,005,005,01
JPARCST0650001,1,1,65,130,005,005,1,005,005,01
JPARCST0800001,1,1,80,150,005,005,1,005,005,01
JPARCST1100001,1,1,110,180,005,005,1,005,005,01
JPARCST1400001,1,1,140,210,005,005,1,005,005,01
JPARCST1800001,1,1,180,250,005,005,1,005,005,01
JPARCST2200001,1,1,220,290,005,005,1,005,005,01
JPARCST2600001,1,1,260,330,005,005,1,005,005,01
JPARCST3000001,1,1,300,370,005,005,1,005,005,01
JPARCST0150002,1,1,15,85,005,005,1,005,005,02
JPARCST0300002,1,1,30,100,005,005,1,005,005,02
JPARCST0500002,1,1,50,120,005,005,1,005,005,02
JPARCST0650002,1,1,65,130,005,005,1,005,005,02
JPARCST0800002,1,1,80,150,005,005,1,005,005,02
JPARCST1100002,1,1,110,180,005,005,1,005,005,02
JPARCST1400002,1,1,140,210,005,005,1,005,005,02
JPARCST1800002,1,1,180,250,005,005,1,005,005,02
JPARCST2200002,1,1,220,290,005,005,1,005,005,02
JPARCST2600002,1,1,260,330,005,005,1,005,005,02
JPARCST3000002,1,1,300,370,005,005,1,005,005,02
JPARCST0150003,1,1,15,85,005,005,1,005,005,03
JPARCST0300003,1,1,30,100,005,005,1,005,005,03
JPARCST0500003,1,1,50,120,005,005,1,005,005,03
JPARCST0650003,1,1,65,130,005,005,1,005,005,03
JPARCST0800003,1,1,80,150,005,005,1,005,005,03
JPARCST1100003,1,1,110,180,005,005,1,005,005,03
JPARCST1400003,1,1,140,210,005,005,1,005,005,03
JPARCST1800003,1,1,180,250,005,005,1,005,005,03
JPARCST2200003,1,1,220,290,005,005,1,005,005,03
JPARCST2600003,1,1,260,330,005,005,1,005,005,03
JPARCST3000003,1,1,300,370,005,005,1,005,005,03
JPARCST0150004,1,1,15,85,005,005,1,005,005,04
JPARCST0300004,1,1,30,100,005,005,1,005,005,04
JPARCST0500004,1,1,50,120,005,005,1,005,005,04
JPARCST0650004,1,1,65,130,005,005,1,005,005,04
JPARCST0800004,1,1,80,150,005,005,1,005,005,04
JPARCST1100004,1,1,110,180,005,005,1,005,005,04
JPARCST1400004,1,1,140,210,005,005,1,005,005,04
JPARCST1800004,1,1,180,250,005,005,1,005,005,04
JPARCST2200004,1,1,220,290,005,005,1,005,005,04
JPARCST2600004,1,1,260,330,005,005,1,005,005,04
JPARCST3000004,1,1,300,370,005,005,1,005,005,04
JPARCST0150005,1,1,15,85,005,005,1,005,005,05
JPARCST0300005,1,1,30,100,005,005,1,005,005,05
JPARCST0500005,1,1,50,120,005,005,1,005,005,05
JPARCST0650005,1,1,65,130,005,005,1,005,005,05
JPARCST0800005,1,1,80,150,005,005,1,005,005,05
JPARCST1100005,1,1,110,180,005,005,1,005,005,05
JPARCST1400005,1,1,140,210,005,005,1,005,005,05
JPARCST1800005,1,1,180,250,005,005,1,005,005,05
JPARCST2200005,1,1,220,290,005,005,1,005,005,05
JPARCST2600005,1,1,260,330,005,005,1,005,005,05
JPARCST3000005,1,1,300,370,005,005,1,005,005,05
JPARCST0150006,1,1,15,85,005,005,1,005,005,06
JPARCST0300006,1,1,30,100,005,005,1,005,005,06
JPARCST0500006,1,1,50,120,005,005,1,005,005,06
JPARCST0650006,1,1,65,130,005,005,1,005,005,06
JPARCST0800006,1,1,80,150,005,005,1,005,005,06
JPARCST1100006,1,1,110,180,005,005,1,005,005,06
JPARCST1400006,1,1,140,210,005,005,1,005,005,06
JPARCST1800006,1,1,180,250,005,005,1,005,005,06
JPARCST2200006,1,1,220,290,005,005,1,005,005,06
JPARCST2600006,1,1,260,330,005,005,1,005,005,06
JPARCST3000006,1,1,300,370,005,005,1,005,005,06
JPARCST0150007,1,1,15,85,005,005,1,005,005,07
JPARCST0300007,1,1,30,100,005,005,1,005,005,07
JPARCST0500007,1,1,50,120,005,005,1,005,005,07
JPARCST0650007,1,1,65,130,005,005,1,005,005,07
JPARCST0800007,1,1,80,150,005,005,1,005,005,07
JPARCST1100007,1,1,110,180,005,005,1,005,005,07
JPARCST1400007,1,1,140,210,005,005,1,005,005,07
JPARCST1800007,1,1,180,250,005,005,1,005,005,07
JPARCST2200007,1,1,220,290,005,005,1,005,005,07
JPARCST2600007,1,1,260,330,005,005,1,005,005,07
JPARCST3000007,1,1,300,370,005,005,1,005,005,07
JPARCST0150008,1,1,15,85,005,005,1,005,005,08
JPARCST0300008,1,1,30,100,005,005,1,005,005,08
JPARCST0500008,1,1,50,120,005,005,1,005,005,08
JPARCST0650008,1,1,65,130,005,005,1,005,005,08
JPARCST0800008,1,1,80,150,005,005,1,005,005,08
JPARCST1100008,1,1,110,180,005,005,1,005,005,08
JPARCST1400008,1,1,140,210,005,005,1,005,005,08
JPARCST1800008,1,1,180,250,005,005,1,005,005,08
JPARCST2200008,1,1,220,290,005,005,1,005,005,08
JPARCST2600008,1,1,260,330,005,005,1,005,005,08
JPARCST3000008,1,1,300,370,005,005,1,005,005,08
JPARCST0150009,1,1,15,85,005,005,1,005,005,09
JPARCST0300009,1,1,30,100,005,005,1,005,005,09
JPARCST0500009,1,1,50,120,005,005,1,005,005,09
JPARCST0650009,1,1,65,130,005,005,1,005,005,09
JPARCST0800009,1,1,80,150,005,005,1,005,005,09
JPARCST1100009,1,1,110,180,005,005,1,005,005,09
JPARCST1400009,1,1,140,210,005,005,1,005,005,09
JPARCST1800009,1,1,180,250,005,005,1,005,005,09
JPARCST2200009,1,1,220,290,005,005,1,005,005,09
JPARCST2600009,1,1,260,330,005,005,1,005,005,09
JPARCST3000009,1,1,300,370,005,005,1,005,005,09
JPARCST0150010,1,1,15,85,005,005,1,005,005,10
JPARCST0300010,1,1,30,100,005,005,1,005,005,10
JPARCST0500010,1,1,50,120,005,005,1,005,005,10
JPARCST0650010,1,1,65,130,005,005,1,005,005,10
JPARCST0800010,1,1,80,150,005,005,1,005,005,10
JPARCST1100010,1,1,110,180,005,005,1,005,005,10
JPARCST1400010,1,1,140,210,005,005,1,005,005,10
JPARCST1800010,1,1,180,250,005,005,1,005,005,10
